area_type,location,size,total_sqft,bath,balcony,age,price
Super built-up  Area,Yelahanka New Town,1,284,1,1,2.644304186,8
Plot  Area,Hosur Road,,1350,,,2.644304186,8.44
Built-up  Area,Chandapura,1,450,1,1,2.644304186,9
Built-up  Area,Kengeri,1,340,1,1,2.683042903,10
Super built-up  Area,BTM Layout,3,167Sq. Meter,3,2,2.683042903,10
Super built-up  Area,Attibele,1,400,1,1,2.683042903,10
Super built-up  Area,Alur,1,470,2,1,2.797214954,10
Built-up  Area,Attibele,1,410,1,1,2.797214954,10
Super built-up  Area,Chandapura,1,410,1,1,2.797214954,10
Built-up  Area,Attibele,1,395,1,1,2.797619027,10.25
Super built-up  Area,Attibele,1,400,1,1,2.797619027,10.25
Plot  Area,Doddaballapur,2,640,1,0,2.797619027,10.5
Super built-up  Area,Attibele,1,450,1,1,2.922736153,11
Built-up  Area,Attibele,1,400,1,1,2.922736153,11
Built-up  Area,Attibele,1,400,1,1,2.922736153,11.5
Super built-up  Area,Attibele,1,418,2,1,3.004716836,11.5
Built-up  Area,Anekal,1,400,1,1,3.004716836,11.5
Super built-up  Area,Attibele,1,550,1,1,3.004716836,11.5
Super built-up  Area,Chandapura,1,530,1,0,3.055370327,11.66
Built-up  Area,Attibele,1,400,1,1,3.055370327,12
Built-up  Area,Attibele,1,418,1,1,3.055370327,12
Built-up  Area,Electronic City,1,550,1,1,3.105751238,12
Super built-up  Area,Electronic City,1,418,1,1,3.105751238,12
Built-up  Area,Begur,3,2400,3,2,3.105751238,12
Built-up  Area,Attibele,1,450,1,1,3.1188017,12.5
Built-up  Area,Anekal,1,420,1,1,3.1188017,12.5
Plot  Area,Yelahanka,,1200 - 1800,,,3.1188017,12.75
Carpet  Area,Attibele,1,460,1,1,3.144894192,13
Super built-up  Area,Austin Town,1,500,1,1,3.144894192,13
Super built-up  Area,Varthur Road,1,540 - 565,1,0,3.144894192,13.26
Super built-up  Area,Electronic City,1,605,1,0,3.205828407,13.31
Built-up  Area,Yelahanka New Town,1,350,1,1,3.205828407,13.5
Super built-up  Area,Electronic City,1,530,1,1,3.205828407,13.5
Super built-up  Area,Kadabagere,2,675,2,2,3.214868146,13.5
Super built-up  Area,Chandapura,1,590,1,0,3.214868146,13.57
Super built-up  Area,Chandapura,1,630,1,0,3.214868146,13.86
Plot  Area,Nagavara,1,400,1,0,3.23205949,14
Super built-up  Area,Ananth Nagar,1,500,1,1,3.23205949,14
Built-up  Area,Attibele,1,400,1,1,3.23205949,14
Super built-up  Area,Ananth Nagar,1,500,2,2,3.24171598,14
Built-up  Area,Austin Town,1,400,1,0,3.24171598,14
Super built-up  Area,Ananth Nagar,1,500,1,1,3.24171598,14
